date,municipio,uf,casos,tempmin,tempmed,tempmax,umidmed
2024-12-22,Brasília,DF,457,19.6095,21.8239285714,25.0965571429,85.5948857143
2024-12-15,Brasília,DF,555,19.6753,22.6349714286,27.199,81.9829142857
2024-12-08,Brasília,DF,662,19.6345857143,23.9027714286,28.3690142857,71.4193428571
2024-12-01,Brasília,DF,742,19.1844285714,22.9661428571,27.1493571429,76.3203571429
2024-11-24,Brasília,DF,604,19.1185285714,22.2715285714,26.4145571429,80.0631571429
2024-11-17,Brasília,DF,769,18.7945142857,22.3033714286,26.2425428571,81.1718857143
2024-11-10,Brasília,DF,634,18.6256857143,21.4708,25.0796285714,84.4701857143
2024-11-03,Brasília,DF,667,19.041,21.6592,25.4941285714,83.4829
2024-10-27,Brasília,DF,516,18.8422142857,22.0840714286,25.5712857143,79.8654142857
2024-10-20,Brasília,DF,411,19.7547285714,22.9986571429,27.1885,78.8821571429
2024-10-13,Brasília,DF,347,19.6851,22.8356571429,27.2532714286,77.0724142857
2024-10-06,Brasília,DF,324,22.0235571429,26.6405714286,31.7326714286,53.4701142857
2024-09-29,Brasília,DF,298,20.6808285714,27.3216,33.4183428571,30.6651714286
2024-09-22,Brasília,DF,302,20.6584142857,27.2590142857,33.6074428571,29.1696857143
2024-09-15,Brasília,DF,308,19.6136857143,25.8385142857,31.9235857143,33.2877571429
2024-09-08,Brasília,DF,304,17.4519571429,23.9103285714,30.3833571429,32.0015
2024-09-01,Brasília,DF,294,17.7228857143,24.6672714286,31.6741857143,26.1744285714
2024-08-25,Brasília,DF,292,16.6269428571,22.8053571429,29.0379714286,42.6537428571
2024-08-18,Brasília,DF,340,15.8256857143,22.9027714286,29.8241857143,31.7903714286
2024-08-11,Brasília,DF,377,15.4908857143,22.1076857143,29.1259857143,38.3598285714
2024-08-04,Brasília,DF,359,15.6936142857,21.0099857143,26.8393714286,45.6172571429
2024-07-28,Brasília,DF,305,15.9515571429,21.2564714286,26.6909571429,47.4732857143
2024-07-21,Brasília,DF,312,13.0953,19.2667428571,25.7361428571,46.6519142857
2024-07-14,Brasília,DF,327,13.3298714286,19.2568571429,25.4175,48.2817714286
2024-07-07,Brasília,DF,409,15.2886142857,21.3259,27.5156428571,45.3511285714
2024-06-30,Brasília,DF,465,14.8669571429,20.2704714286,26.1680428571,47.8145714286
2024-06-23,Brasília,DF,423,15.3036714286,20.6306428571,26.5235714286,48.8884
2024-06-16,Brasília,DF,805,14.351,19.6371857143,25.2230142857,54.9992142857
2024-06-09,Brasília,DF,1161,15.1545857143,20.3967285714,26.1459714286,58.0647142857
2024-06-02,Brasília,DF,1730,16.3689142857,20.4999,25.3003,61.5483857143
2024-05-26,Brasília,DF,2501,15.7582428571,21.0278285714,26.5693,56.9949142857
2024-05-19,Brasília,DF,3503,17.2295714286,22.043,27.3358857143,58.7893857143
2024-05-12,Brasília,DF,3822,16.7929571429,22.5165857143,28.2445,55.8065285714
2024-05-05,Brasília,DF,4384,16.8666285714,21.8216857143,27.4399142857,60.9340857143
2024-04-28,Brasília,DF,4951,17.8793,23.2156,28.6351714286,61.5202571429
2024-04-21,Brasília,DF,6230,18.2187857143,22.5420285714,27.2316714286,68.3651714286
2024-04-14,Brasília,DF,8542,19.4023285714,22.9952714286,26.8962285714,71.9516714286
2024-04-07,Brasília,DF,10739,19.4862428571,22.7452,26.5650571429,76.2233857143
2024-03-31,Brasília,DF,11954,19.6815,22.5227142857,26.4106571429,86.0912
2024-03-24,Brasília,DF,11654,19.4519714286,22.4535857143,26.6828428571,82.0978
2024-03-17,Brasília,DF,17439,20.4030428571,23.9585285714,28.0455857143,79.9017
2024-03-10,Brasília,DF,19376,20.5242857143,24.1342571429,28.1799285714,77.6525571429
2024-03-03,Brasília,DF,21609,19.8196,23.3449857143,27.5457,79.4438
2024-02-25,Brasília,DF,24823,19.3833857143,24.1701428571,29.2475714286,68.5183428571
2024-02-18,Brasília,DF,25714,19.4538428571,21.5562142857,24.6631428571,88.3955714286
2024-02-11,Brasília,DF,23969,19.1978857143,22.6382428571,26.8051428571,77.5302142857
2024-02-04,Brasília,DF,24198,19.3211428571,21.9603428571,25.8102142857,85.1913142857
2024-01-28,Brasília,DF,25623,19.1535142857,22.2444571429,26.1647142857,82.4189142857
2024-01-21,Brasília,DF,21998,19.9428571429,22.5587142857,25.9222428571,83.6999285714
2024-01-14,Brasília,DF,15007,19.6937428571,24.0098857143,28.6773428571,72.3731714286
2024-01-07,Brasília,DF,9782,19.2617428571,22.3296857143,25.9902571429,83.7961428571
2023-12-31,Brasília,DF,9340,19.5911,21.5246714286,23.8457714286,89.4806714286
